data;

param num_elementos := 30;

param num_grupos := 5;

param limite_inf :=
	1 6
	2 6
	3 6
	4 6
	5 6
;

param limite_sup :=
	1 10
	2 8
	3 10
	4 10
	5 10
;

param D :=
	1 1 0
	1 2 123.307
	1 3 138.343
	1 4 177.801
	1 5 159.264
	1 6 126.709
	1 7 141.884
	1 8 165.192
	1 9 147.534
	1 10 163.215
	1 11 157.31
	1 12 125.932
	1 13 161.899
	1 14 148.913
	1 15 192.864
	1 16 167.933
	1 17 142.54
	1 18 168.714
	1 19 159.482
	1 20 182.103
	1 21 155.786
	1 22 140.691
	1 23 137.845
	1 24 166.681
	1 25 160.537
	1 26 185.049
	1 27 149.759
	1 28 139.018
	1 29 175.845
	1 30 178.19
	2 1 123.307
	2 2 0
	2 3 159.491
	2 4 193.625
	2 5 162.291
	2 6 166.252
	2 7 168.52
	2 8 157.151
	2 9 136.344
	2 10 172.251
	2 11 138.831
	2 12 161.319
	2 13 190.023
	2 14 154.459
	2 15 137.869
	2 16 151.599
	2 17 152.794
	2 18 149.161
	2 19 125.3
	2 20 177.266
	2 21 122.305
	2 22 192.576
	2 23 133.989
	2 24 137.444
	2 25 139.894
	2 26 160.93
	2 27 116.953
	2 28 177.344
	2 29 157.75
	2 30 170.592
	3 1 138.343
	3 2 159.491
	3 3 0
	3 4 140.043
	3 5 147.021
	3 6 176.787
	3 7 152.021
	3 8 179.903
	3 9 170.211
	3 10 148.953
	3 11 194.08
	3 12 151.232
	3 13 157.839
	3 14 178.954
	3 15 167.206
	3 16 180.508
	3 17 140.617
	3 18 186.248
	3 19 190.567
	3 20 135.881
	3 21 163.044
	3 22 157.605
	3 23 146.205
	3 24 214.764
	3 25 159.495
	3 26 150.919
	3 27 170.491
	3 28 175.649
	3 29 146.194
	3 30 143.015
	4 1 177.801
	4 2 193.625
	4 3 140.043
	4 4 0
	4 5 167.988
	4 6 145.666
	4 7 164.783
	4 8 165.857
	4 9 158.088
	4 10 96.568
	4 11 190.632
	4 12 156.934
	4 13 152.485
	4 14 172.471
	4 15 192.114
	4 16 163.671
	4 17 149.528
	4 18 175.825
	4 19 184.667
	4 20 159.296
	4 21 214.407
	4 22 184.886
	4 23 150.023
	4 24 213.805
	4 25 181.86
	4 26 124.397
	4 27 210.193
	4 28 176.192
	4 29 202.567
	4 30 182.39
	5 1 159.264
	5 2 162.291
	5 3 147.021
	5 4 167.988
	5 5 0
	5 6 191.086
	5 7 145.606
	5 8 156.974
	5 9 200.555
	5 10 172.616
	5 11 181.063
	5 12 181.254
	5 13 137.32
	5 14 192.118
	5 15 179.993
	5 16 195.01
	5 17 148.212
	5 18 179.797
	5 19 198.077
	5 20 193.552
	5 21 166.997
	5 22 151.621
	5 23 163.603
	5 24 201.846
	5 25 147.134
	5 26 175.183
	5 27 147.98
	5 28 160.896
	5 29 210.263
	5 30 146.518
	6 1 126.709
	6 2 166.252
	6 3 176.787
	6 4 145.666
	6 5 191.086
	6 6 0
	6 7 160.377
	6 8 167.032
	6 9 159.321
	6 10 153.609
	6 11 174.937
	6 12 156.864
	6 13 169.302
	6 14 185.668
	6 15 204.883
	6 16 150.239
	6 17 172.153
	6 18 175.665
	6 19 151.82
	6 20 194.627
	6 21 199.678
	6 22 180.577
	6 23 113.242
	6 24 166.647
	6 25 190.13
	6 26 185.451
	6 27 193.144
	6 28 167.851
	6 29 201.452
	6 30 218.773
	7 1 141.884
	7 2 168.52
	7 3 152.021
	7 4 164.783
	7 5 145.606
	7 6 160.377
	7 7 0
	7 8 141.58
	7 9 210.673
	7 10 184.796
	7 11 196.365
	7 12 152.667
	7 13 182.119
	7 14 193.951
	7 15 227.103
	7 16 190.73
	7 17 183.922
	7 18 190.61
	7 19 184.451
	7 20 188.992
	7 21 191.989
	7 22 148.514
	7 23 137.023
	7 24 206.024
	7 25 164.304
	7 26 164.216
	7 27 184.541
	7 28 179.591
	7 29 179.679
	7 30 195.996
	8 1 165.192
	8 2 157.151
	8 3 179.903
	8 4 165.857
	8 5 156.974
	8 6 167.032
	8 7 141.58
	8 8 0
	8 9 196.763
	8 10 155.073
	8 11 148.031
	8 12 187.024
	8 13 179.672
	8 14 138.929
